,RAJ2000,DEJ2000,P,F555W,e_F555W,F606W,e_F606W,F814W,e_F814W,WVI_555,e_WVI_555,Z,sig_clip
45,202.523005,47.169617,33.521013,23.707108,0.046925,23.509874,0.039033,22.957605,0.042002,22.012483,0.089838,9.134321,+
46,202.497234,47.212606,39.818838,24.264299,0.084189,23.908575,0.066650,23.017662,0.045636,21.445652,0.129093,9.241615,+
47,202.483223,47.165055,45.472069,24.111926,0.069712,23.806444,0.049397,23.018929,0.045693,21.640659,0.114610,9.239621,+
48,202.488203,47.183810,41.041652,24.221985,0.061963,23.888045,0.055572,23.040454,0.061775,21.550543,0.126450,9.285090,+
49,202.533187,47.178693,29.662679,23.944975,0.077303,23.700196,0.067120,23.034160,0.065872,21.885621,0.144018,9.108242,+
50,202.482385,47.171581,32.062933,23.894800,0.163048,23.664010,0.146091,23.037206,0.086532,21.955781,0.248329,9.264708,+
51,202.485868,47.182129,5.712947,24.042141,0.059322,23.775881,0.043099,23.065163,0.042744,21.833195,0.101627,9.288879, 
52,202.496499,47.175846,37.230862,24.193778,0.096868,23.880772,0.083814,23.073140,0.082440,21.660016,0.180345,9.239424,+
53,202.516092,47.191916,31.175531,24.165476,0.136666,23.861486,0.112477,23.074779,0.062440,21.699409,0.199494,9.185225,+
54,202.497178,47.176749,37.439434,24.243580,0.059179,23.912063,0.049014,23.065544,0.046240,21.580041,0.105389,9.239256,+
55,202.513760,47.214238,13.105108,24.063663,0.089629,23.809096,0.076343,23.129366,0.072962,21.951218,0.162980,9.179373, 
56,202.497817,47.177014,28.777130,24.280532,0.053774,23.951700,0.035727,23.107925,0.049581,21.629268,0.104716,9.237690,+
57,202.530548,47.190470,37.244740,24.028844,0.069081,23.764428,0.047263,23.065167,0.049975,21.849970,0.118564,9.126678,+
58,202.464415,47.182094,39.536169,24.209965,0.142362,23.897209,0.114045,23.096693,0.068251,21.692856,0.210457,9.316231,+
59,202.512989,47.197717,25.368998,23.872942,0.044529,23.663982,0.033664,23.082215,0.032348,22.085108,0.076572,9.197937,+
60,202.506720,47.215675,34.395219,24.131274,0.138426,23.884389,0.090351,23.183226,0.103210,21.987738,0.240956,9.202363,+
61,202.467949,47.167296,36.997282,24.038016,0.071917,23.786452,0.059542,23.108805,0.048166,21.937069,0.119303,9.260317,+
62,202.481993,47.199435,34.680912,24.626568,0.070159,24.182815,0.047184,23.132141,0.032948,21.247669,0.103145,9.320419,+
63,202.502264,47.215328,25.641799,24.004763,0.047784,23.780476,0.045991,23.161641,0.053697,22.098465,0.105352,9.218601,+
64,202.531763,47.180791,29.375839,24.039087,0.064641,23.773043,0.056904,23.065969,0.063729,21.838868,0.131010,9.115841,+
65,202.514661,47.169720,31.253260,24.164653,0.079943,23.882681,0.063951,23.139660,0.051136,21.847144,0.130135,9.164345,+
66,202.515312,47.206389,19.688944,24.355209,0.094335,24.026687,0.076342,23.191326,0.055888,21.723668,0.149134,9.183474, 
67,202.504528,47.209941,40.153738,24.371972,0.045104,24.025050,0.036788,23.151183,0.044266,21.611767,0.091160,9.220399,+
68,202.498799,47.201773,33.243107,24.428584,0.055864,24.086491,0.042366,23.222542,0.056923,21.701724,0.115565,9.252530,+
69,202.520971,47.208828,39.288255,24.280703,0.065157,23.970682,0.051460,23.170121,0.054918,21.769678,0.120676,9.158940,+
70,202.472091,47.171090,32.732944,24.059438,0.053139,23.834525,0.037466,23.192466,0.054075,22.099215,0.109836,9.275278,+
71,202.523909,47.180087,28.843387,24.209795,0.053207,23.938174,0.041242,23.217780,0.033051,21.966850,0.085621,9.145819,+
72,202.474997,47.173285,36.983649,24.292149,0.068151,24.001191,0.055542,23.238482,0.045266,21.909809,0.112661,9.281994,+
73,202.488018,47.183797,45.063225,24.608025,0.083616,24.206776,0.057585,23.227280,0.051968,21.486159,0.134583,9.285697,+
74,202.521590,47.199254,25.298561,24.125527,0.132230,23.893001,0.118236,23.252077,0.089059,22.150656,0.219878,9.162928,+
75,202.496706,47.214033,29.919411,24.370153,0.043093,24.058522,0.033827,23.253189,0.035373,21.844699,0.078701,9.240226,+
76,202.518984,47.166428,31.341208,24.229517,0.096945,23.958956,0.085731,23.241980,0.063705,21.996695,0.159550,9.142621,+
77,202.497810,47.162992,59.614784,24.431670,0.058831,24.103817,0.045052,23.268815,0.047440,21.802455,0.106455,9.200390, 
78,202.505648,47.188467,33.199072,24.318172,0.078416,24.024894,0.065559,23.259396,0.046914,21.924279,0.124412,9.225259,+
79,202.525613,47.186434,13.031797,24.270095,0.059470,23.997694,0.042285,23.279216,0.035110,22.029718,0.093897,9.144542, 
80,202.486836,47.162128,39.993523,24.545036,0.058594,24.185993,0.043289,23.282127,0.062694,21.689598,0.125060,9.222635,+
81,202.511977,47.164879,45.575479,24.672434,0.074981,24.255833,0.045513,23.253894,0.048011,21.465116,0.122109,9.162954,+
82,202.463808,47.166953,27.325997,24.595954,0.074493,24.242592,0.064924,23.360605,0.054151,21.802829,0.128137,9.256780,+
83,202.481839,47.175751,23.267002,24.188844,0.063211,23.947162,0.053164,23.289435,0.054236,22.155280,0.118206,9.280342,+
84,202.476712,47.172895,23.213112,23.954062,0.090313,23.775853,0.078221,23.265287,0.052081,22.396742,0.141404,9.278599,+
85,202.505253,47.165745,37.038284,24.468811,0.062601,24.130459,0.049788,23.272891,0.049150,21.764835,0.111752,9.186572,+
86,202.476110,47.163140,31.233786,24.138401,0.090896,23.903268,0.079972,23.257954,0.069935,22.147712,0.160642,9.241100,+
87,202.504108,47.179079,32.605246,24.293867,0.090822,24.026001,0.081024,23.318183,0.070265,22.087845,0.160948,9.219500,+
88,202.484350,47.206993,18.891235,24.057814,0.052065,23.853264,0.036831,23.288168,0.027841,22.317644,0.079486,9.297172,+
89,202.506232,47.202482,21.583844,24.495652,0.067595,24.178484,0.081688,23.353706,0.142857,21.913712,0.245203,9.222617,+
90,202.505584,47.189020,21.213849,24.199032,0.059754,23.968560,0.053402,23.329791,0.060319,22.233679,0.122888,9.225906,+
91,202.524834,47.178011,24.609250,24.653352,0.062626,24.256524,0.053953,23.278521,0.075018,21.544860,0.144266,9.139871, 
92,202.522915,47.206427,33.298329,24.194678,0.048689,23.958093,0.043696,23.312643,0.037335,22.200396,0.085907,9.153540,+
93,202.474822,47.189240,19.280430,23.954377,0.096580,23.795603,0.074315,23.340228,0.051148,22.565786,0.146997,9.341047,+
94,202.529125,47.174263,44.503406,24.520453,0.063829,24.180138,0.045670,23.321513,0.031380,21.809650,0.095021,9.118686,+
95,202.500024,47.177841,30.651257,24.302481,0.077559,24.050978,0.062131,23.374512,0.053371,22.204342,0.130165,9.231823,+
96,202.511089,47.198215,19.254067,24.404239,0.111696,24.120131,0.097845,23.378699,0.067406,22.085493,0.177783,9.205454,+
97,202.522058,47.176964,27.296202,24.196149,0.089787,23.955622,0.086183,23.310558,0.085962,22.193829,0.178770,9.149174,+
98,202.515048,47.191256,19.868439,24.187168,0.043823,23.956191,0.037032,23.322901,0.051159,22.233060,0.099161,9.189211,+
99,202.517419,47.205544,33.232216,24.387074,0.037719,24.100753,0.037627,23.351780,0.047686,22.046274,0.090290,9.175955,+
100,202.522310,47.175322,50.209175,24.653788,0.068197,24.287450,0.046264,23.376797,0.041898,21.766511,0.109281,9.145961,+
101,202.473168,47.197664,7.358581,24.108904,0.054064,23.914612,0.034153,23.368333,0.042978,22.434472,0.097118,9.355803, 
102,202.497574,47.179582,32.321388,24.581163,0.068363,24.238421,0.046538,23.347665,0.047399,21.792223,0.115112,9.243874,+
103,202.497613,47.183146,24.013828,24.317531,0.108156,24.059982,0.083809,23.353475,0.062350,22.137800,0.169322,9.250108,+
104,202.531057,47.181273,33.177128,24.370877,0.062018,24.091545,0.051232,23.351897,0.051174,22.066963,0.113573,9.119052,+
105,202.501236,47.170363,21.209364,24.634139,0.067574,24.263439,0.046117,23.360622,0.042641,21.754716,0.109410,9.210869, 
106,202.484724,47.174024,18.188638,24.007579,0.057466,23.846869,0.048072,23.382810,0.039169,22.594975,0.096046,9.268079,+
107,202.486324,47.161998,22.718609,24.475112,0.052267,24.171106,0.036785,23.382913,0.035782,22.005651,0.087522,9.223111,+
108,202.498640,47.185173,37.935291,24.349228,0.073896,24.088244,0.065619,23.385028,0.059988,22.169173,0.134179,9.249211,+
109,202.511875,47.199775,24.187648,24.638525,0.068086,24.280317,0.039936,23.383560,0.042479,21.801050,0.109750,9.201741,+
110,202.486495,47.205094,29.187686,24.534818,0.054988,24.207856,0.037244,23.370746,0.040070,21.902851,0.094692,9.294339,+
111,202.507478,47.214308,62.907380,24.837879,0.057603,24.427591,0.038842,23.433694,0.053406,21.663018,0.112534,9.202223, 
112,202.524952,47.180006,16.829781,24.667508,0.070974,24.311299,0.052522,23.420269,0.037490,21.847501,0.107937,9.141679, 
113,202.507838,47.202415,23.186263,24.519820,0.088672,24.209116,0.071514,23.404266,0.055521,21.997552,0.143133,9.216310,+
114,202.509710,47.189558,22.631430,24.173706,0.063815,23.967007,0.051140,23.388860,0.040800,22.399171,0.103861,9.209812,+
115,202.507771,47.204014,29.264362,24.184509,0.063913,23.981968,0.048846,23.417819,0.037783,22.451022,0.100960,9.215259,+
116,202.515734,47.191467,18.545254,24.322360,0.053336,24.080405,0.040556,23.422539,0.037231,22.287865,0.090076,9.186526,+
117,202.534708,47.193556,8.888376,24.947321,0.062821,24.506292,0.050244,23.457533,0.055726,21.578910,0.119660,9.110575, 
118,202.470814,47.160977,32.001562,25.086863,0.049948,24.612529,0.032050,23.521240,0.022435,21.546988,0.072599,9.234946,+
119,202.507277,47.214879,24.042687,24.420174,0.119260,24.150732,0.103341,23.436725,0.085689,22.196597,0.204045,9.201894,+
120,202.525234,47.210805,19.107271,24.290195,0.131449,24.091817,0.111749,23.531983,0.093055,22.575878,0.223392,9.140266,+
121,202.500836,47.168708,27.445671,24.501137,0.079171,24.220778,0.059177,23.477206,0.051434,22.186030,0.129688,9.207894,+
122,202.522946,47.210563,24.216870,24.338633,0.074424,24.095955,0.086080,23.425616,0.112017,22.274302,0.203244,9.149409,+
123,202.516026,47.193172,34.395073,24.694512,0.048888,24.342739,0.036057,23.456855,0.035579,21.896169,0.084138,9.185787,+
124,202.524596,47.188127,23.342835,24.484004,0.096244,24.209987,0.082020,23.477394,0.074176,22.208058,0.170236,9.149572,+
125,202.512193,47.172859,20.352483,24.324654,0.101817,24.100361,0.088851,23.482959,0.059395,22.421581,0.160067,9.179144,+
